Model,Condition,Fold,Accuracy,Sensitivity,Specificity,AUC
CNN+RNN,Curvilinear,1,0.47413793103448276,0.5371900826446281,0.40540540540540543,0.4573747301020028
CNN+RNN,Curvilinear,2,0.49137931034482757,0.48760330578512395,0.4954954954954955,0.49802695257240714
CNN+RNN,Curvilinear,3,0.5560344827586207,0.6363636363636364,0.46846846846846846,0.5255007073188891
CNN+RNN,Curvilinear,4,0.5800865800865801,0.5454545454545454,0.6181818181818182,0.5513899323816679
CNN+RNN,Curvilinear,5,0.4675324675324675,0.5,0.43243243243243246,0.4778528528528529
CNN+RNN,Rectilinear,1,0.5869565217391305,0.5652173913043478,0.6086956521739131,0.671077504725898
CNN+RNN,Rectilinear,2,0.5108695652173914,0.34782608695652173,0.6739130434782609,0.5746691871455577
CNN+RNN,Rectilinear,3,0.5543478260869565,0.5,0.6086956521739131,0.5652173913043479
CNN+RNN,Rectilinear,4,0.6086956521739131,0.5111111111111111,0.7021276595744681,0.6458628841607564
CNN+RNN,Rectilinear,5,0.5164835164835165,0.4222222222222222,0.6086956521739131,0.5541062801932367
CNN+RNN,Combine,1,0.5277777777777778,0.5269461077844312,0.5286624203821656,0.5550554941073267
CNN+RNN,Combine,2,0.5185185185185185,0.5089820359281437,0.5286624203821656,0.5353369693733552
CNN+RNN,Combine,3,0.5386996904024768,0.5421686746987951,0.535031847133758,0.5046427749213415
CNN+RNN,Combine,4,0.56656346749226,0.6265060240963856,0.5031847133757962,0.5768935615071753
CNN+RNN,Combine,5,0.5108359133126935,0.5421686746987951,0.47770700636942676,0.5413629038446781
